CS001-SS001-SIM-1,CS001,SS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company. ","James and she worked together to create crosswords for multiple newspapers and magazines, including People.  In 1978 they started their own publishing business. ","James and she worked together to create crosswords for multiple newspapers and magazines, including People."
CS001-SS001-SIM-2,CS001,SS001,"Together with James, she compiled crosswords for several newspapers and magazines, including People, and it was in 1978 that they launched their own publishing company. ","James and she worked together to create crosswords for multiple newspapers and magazines, including People.  In 1978 they started their own publishing business. ", In 1978 they started their own publishing business.
CS002-SS002-SIM-1,CS002,SS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset."
CS002-SS002-SIM-2,CS002,SS002,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath. ", He studied at the University of Bath.
CS003-SS003-SIM-1,CS003,SS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset."
CS003-SS003-SIM-2,CS003,SS003,"Mantell was born in Bridgwater, Somerset, and studied at the University of Bath. ","Mantell was born in Bridgwater, Somerset.  He studied at the University of Bath. ", He studied at the University of Bath.
CS004-SS004-SIM-1,CS004,SS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas. ","Toby Irwin was unaware of what was happening.  Eventually, he put an end to the fight.  Unfortunately, Campbell had already fainted. ",Toby Irwin was unaware of what was happening.
CS004-SS004-SIM-2,CS004,SS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas. ","Toby Irwin was unaware of what was happening.  Eventually, he put an end to the fight.  Unfortunately, Campbell had already fainted. "," Eventually, he put an end to the fight."
CS004-SS004-SIM-3,CS004,SS004,"Referee Toby Irwin seemed oblivious to what was occurring and by the time Irwin finally stopped the fight, Campbell collapsed to the canvas. ","Toby Irwin was unaware of what was happening.  Eventually, he put an end to the fight.  Unfortunately, Campbell had already fainted. "," Unfortunately, Campbell had already fainted."
CS005-SS005-SIM-1,CS005,SS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits. ","Yazan Halwani is a street artist from Beirut, Lebanon.  He paints murals using a mix of modern Arabic calligraphy and portraits. ","Yazan Halwani is a street artist from Beirut, Lebanon."
CS005-SS005-SIM-2,CS005,SS005,"Yazan Halwani is a street artist from Beirut, Lebanon that paints murals through a combination of renewed Arabic calligraphy and portraits. ","Yazan Halwani is a street artist from Beirut, Lebanon.  He paints murals using a mix of modern Arabic calligraphy and portraits. ", He paints murals using a mix of modern Arabic calligraphy and portraits.
CS006-SS006-SIM-1,CS006,SS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ",The Catholic Institute of Sydney is a tertiary educational facility.  It is a member of the Sydney College of Divinity.  The Institute offers undergraduate and postgraduate theology studies.  It prepares students for ordination to the Catholic priesthood. ,The Catholic Institute of Sydney is a tertiary educational facility.
CS006-SS006-SIM-2,CS006,SS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ",The Catholic Institute of Sydney is a tertiary educational facility.  It is a member of the Sydney College of Divinity.  The Institute offers undergraduate and postgraduate theology studies.  It prepares students for ordination to the Catholic priesthood. , It is a member of the Sydney College of Divinity.
CS006-SS006-SIM-3,CS006,SS006,"The Catholic Institute of Sydney, a tertiary educational facility that is a member institution of the Sydney College of Divinity, delivers theological studies at both undergraduate and postgraduate qualifications and prepares students who are studying for ordination to the priesthood in the Catholic Church. ",The Catholic Institute of Sydney is a tertiary educational facility.  It is a member of the Sydney College of Divinity.  The Institute offers undergraduate and postgraduate theology studies.  It prepares students for ordination to the Catholic priesthood. , The Institute offers undergraduate and postgraduate theology studies.
